RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
Midland County,TX,Midland,48,329,449,187900,189000,194950,199000,198500,198500,189900,189900,189900,189900,184900,181200,179900,179900,177700,180000,182000,187000,192500,197450,194950,189900,189900,187000,209999,203126,220000,221000,234750,235000,229900,219900,220000,222000,225000,225000,210000,206000,219900,225000,235000,242500,259100,259900,260000,269450,259997.5,260000,250000,249900,249900,265000,269900,278500,289000,289450,283000,283250,279250,279000,279900,275000,279000,285000,279900,279900,274900,265000,259900,263000,257000,247935,245500,250000,264950,260000,250000,249000,254900,249000,249000,239900,236100,236000,239900,245000,254000,260000,267580,268000,267275,274430,260000,261950,265620,279900,283079.5,285000,299949.5,313745,320000,319900,320000,314945,299900,320000,319900,319950,319900,323945,318995,329900,330000
Fayette County,PA,Pittsburgh,42,51,450,109900,109900,105000,109900,119000,119000,114950,119800,119900,115000,119900,114900,109000,109900,110000,114900,119000,119900,119900,123900,129900,129900,125000,129900,134000,130000,148500,138950,138450,130000,135000,129900,125000,128950,122900,121900,119000,119900,123200,124900,129900,129000,129800,129900,130000,139900,135000,130950,129900,127450,129900,131450,132750,134950,139900,136600,132900,131000,129900,129900,126000,130000,128250,129900,132900,135000,138450,132450,129000,127900,125000,125000,124950,124900,124900,129900,129900,129900,129900,129000,129000,125000,124950,125000,129900,134900,129900,124900,125000,129900,129900,129900,129900,125000,125000,124700,124700,124900,128000,130000,130000,134900,130000,129900,129900,127500,125000,124900,125000,124950,127500,125000,124000
Dorchester County,SC,Charleston-North Charleston,45,35,451,179900,179900,184900,184586.5,185000,180000,175000,175000,174900,173950,174900,172750,169900,168000,169500,170000,175000,179000,179900,178640,179000,175000,176945,175000,175000,176990,174365,173490,174900,176849,175000,175700,175000,178990,178900,180000,179000,183900,186390,193792.5,189900,194000,194195,195000,196800,201000,194590,189995,195000,194900,195000,195395,195000,194900,198900,2.00E+05,202695,199880,199200,198800,199400,203945,209900,210000,209900,211602.5,211500,211495,210000,209900,206400,207900,219065,224500,225000,225000,225000,225000,229000,229900,230000,234994.5,235000,229900,229999.5,233090,243900,246820,250000,249900,249900,250475,255490,255000,254900,258540,259900,259900,259545,260000,260000,260000,258265,258132.5,259900,255950,250000,257255,259000,255000,259900,260000,260000
Napa County,CA,Napa,6,55,452,575000,540000,499950,525000,525000,554500,549000,539000,539000,524807,529000,499000,499900,469000,449000,472000,479450,495000,499000,515000,495000,511000,497500,495000,480000,483500,475000,479000,499000,549000,539450,559000,575000,575000,589000,577000,575000,595000,579000,625000,685000,694999,689000,672950,676450,652500,695000,695000,649000,695000,715000,718500,695000,695000,688000,692000,699000,680000,659900,650000,629000,640950,664900,695000,695451,691000,724500,709995,749450,732500,725000,699000,699000,679000,679000,699950,726475,739500,739000,729250,739000,749000,749000,799000,749000,749000,749000,749000,769250,749000,760000,775000,795000,795000,795000,769000,751944,749000,775000,799000,849000,839900,785000,799000,804000,825000,799000,799000,749997,775000,809475,839000,843450
Calhoun County,MI,Battle Creek,26,25,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,133219.5,130950,134900,129900,127900,125000,126250,127250,125000,125000,134950,139900
Tazewell County,IL,Peoria,17,179,454,139900,139900,149900,149900,149900,149000,144900,144900,149000,144900,145860,139900,136750,139900,144500,139900,139995,142500,143750,144900,139900,134950,129900,129900,129900,129900,138500,134900,144900,138000,134900,129900,125000,124900,122200,115000,119000,115900,121450,129900,134500,132000,132250,129900,132200,134900,131500,129400,128700,129900,134900,139900,139900,139900,137900,139000,136900,137200,132750,134900,135900,139900,141500,143000,147900,147500,145000,139900,139900,140000,139900,134900,135900,134000,139900,144500,148000,149900,146900,139900,135900,134900,135900,134950,136900,137700,139600,139900,140000,144900,142250,139900,139000,135750,132900,129800,129900,134900,134900,139000,137000,139900,144500,139900,134900,135000,134900,129900,129900,129000,134500,136000,138000
Chautauqua County,NY,Jamestown-Dunkirk-Fredonia,36,13,455,119900,118850,119000,121000,125900,126750,129900,129000,129900,129900,129900,129900,130950,118000,126250,124900,124900,131000,131000,129500,135000,135000,135000,136500,139500,149900,139400,142000,144500,144150,139900,139900,133850,129250,124900,124950,133900,134900,127900,134900,132950,129000,129000,129900,129900,125000,125000,122400,115000,114900,125000,125000,134900,130000,129900,129900,132900,134900,129900,119900,125000,119899.5,116700,118450,119900,119900,119900,119900,124900,124900,124750,119900,115000,114900,115000,124700,129000,129900,124900,124000,119500,119000,114900,114900,110950,114900,115000,114900,120000,124000,123000,124900,124900,119900,119900,117900,114800,109900,110000,114900,119900,129000,126700,125000,124800,124900,121950,122000,115000,119900,119900,124900,129900
Humboldt County,CA,Eureka-Arcata-Fortuna,6,23,456,299000,305000,299950,299500,3.00E+05,299725,299900,299000,297896,289950,285000,279999.5,279450,259900,269950,269000,269000,273900,275000,269900,269900,270000,265000,258000,255000,249900,249500,250000,264950,275000,275000,274500,272000,259450,259926,250000,249900,260000,268800,275000,279000,279450,277300,285000,289000,289000,277000,279000,279000,279900,279000,285000,295000,299000,295000,285000,289000,279000,279000,274950,273000,269995,275000,284500,280500,279000,279900,280200,285450,285900,297250,299000,295900,288900,279900,289900,309000,314000,319000,329500,327000,319950,315000,320000,327000,329000,329500,345000,365000,365000,364000,365000,372250,379000,385000,395500,399000,382500,380000,395000,379450,375000,379700,379000,384950,369000,369000,375000,374500,350000,369900,375000,375000
Coconino County,AZ,Flagstaff,4,5,457,330000,324900,319000,319850,319900,319000,318500,325000,320000,323000,319000,310000,299999.5,299900,3.00E+05,299900,3.00E+05,299000,284250,285000,289900,284000,279900,279000,286000,275000,275000,282250,289900,289000,289900,295000,299000,294500,294750,299000,298250,292600,286950,295000,299500,304999.5,315000,309900,310000,302400,305000,317000,314580,319375,325000,329900,330000,336946,339900,332500,335000,335320,345000,342653,335000,338505.5,337373,342700,343275,349900,349900,349900,353686,355000,360672,360671,359900,359450,349900,355000,364950,359900,359000,365000,369900,379000,385000,391750,399450,395000,384603.5,389000,389950,393066.5,395000,391431.5,398500,399000,399000,399900,409000,414900,429000,428000,420000,420000,419000,415000,420000,419900,424900,419600,419900,415000,4.00E+05,408250,415000
Robeson County,NC,Lumberton,37,155,458,99000,99949.5,99000,105000,98900,109900,115000,120000,125000,125000,125000,120000,118000,125000,124900,120000,115000,119900,119500,125000,129900,129900,129000,129900,139950,139900,139400,134900,139400,129900,125250,129900,119997.5,119900,124900,119950,119900,119900,120000,123575,120000,119900,123250,124950,125000,121500,119900,120400,122900,119900,119500,115000,114900,119900,122000,121600,115000,110000,114000,119900,117000,109900,112500,109500,110000,115000,119900,119900,119800,121500,115000,115000,109999,110000,115000,111500,115000,118000,118950,119947.5,115000,111750,115000,107700,99900,103500,112900,119500,119900,119250,120000,120000,119250,119000,119900,119000,114900,116000,109900,109900,119000,124000,115900,113450,115000,119000,119900,115450,110000,108950,112000,115000,117500
Marathon County,WI,Wausau,55,73,459,143900,147550,147900,146900,144950,144400,145900,147450,142900,139900,139900,134900,134900,134900,139900,139500,138750,139500,139650,134900,134900,133000,132000,129900,129000,129900,129900,132000,132000,134900,135000,134900,133950,133000,130000,129500,129000,128900,129900,129900,132500,129900,129900,129900,129900,129500,128950,124900,120000,119900,122950,124900,129900,129900,133157.5,134900,134900,133900,131700,134900,129900,130750,134900,137900,137900,134900,134250,139900,137900,130000,117700,114900,115000,119900,120000,129900,139900,142700,139900,139900,137000,139900,139900,132000,120000,133187.5,140000,149900,149900,149900,149900,149900,147450,153900,149999,144900,159900,164900,169850,174900,174900,178000,175000,169900,169000,167500,169900,169900,174250,172900,169900,168000,176250
Orange County,NC,Durham-Chapel Hill,37,135,460,320000,324900,324900,324700,329900,328950,324900,325000,329000,325000,325000,318200,299300,300495,3.00E+05,307000,3.00E+05,299900,295000,289900,295000,295000,3.00E+05,297900,295000,299000,299900,299900,299900,287750,287500,279900,274950,274900,269850,259900,259900,274500,299000,309400,319746,321716,315000,3.00E+05,3.00E+05,314750,3.00E+05,298400,298400,3.00E+05,315000,324450,329000,325000,319950,325000,330000,331900,334900,339800,348000,349900,367900,378500,385000,379700,379990,381990,381990,379000,373950,369500,375000,365000,369000,372500,374950,368000,364000,361450,363950,372450,375000,375000,369000,375000,380445,385450,389500,392455,389900,385000,380000,390000,388000,375000,378930,385000,391250,403900,399900,399900,399950,399000,399000,389000,389900,386750,375000,391450,402500,419900,413000
Lebanon County,PA,Lebanon,42,75,461,179900,179900,180000,175000,174900,172625,171625,169900,180000,178000,175850,179900,182000,184900,179900,179000,179900,184400,184900,187500,184900,179900,178800,179900,178950,179900,180000,187700,181700,179900,177389.5,176389.5,174900,174500,179900,179900,176939.5,179900,179900,177900,198000,198765,197700,194900,197000,196600,197900,224900,199900,199900,199900,199900,2.00E+05,199000,199000,193000,194900,190900,190780,195900,194900,186900,189000,189000,185000,179900,184950,186500,201900,189900,191642.5,189900,189900,179900,199700,187500,189900,200945,188750,189900,192700,204900,194900,195000,198400,204130,228900,215900,209650,209950,219900,224900,219000,234900,238400,251429,254495,258675,250400,247500,249900,249000,243195,242745,249000,238900,244200,250000,249999,260700,267900,259900,250200
Douglas County,GA,Atlanta-Sandy Springs-Roswell,13,97,462,149900,145000,145000,146950,139900,135900,134900,134900,129900,134900,134900,127900,124900,117250,119900,119900,124900,120000,117000,115000,115000,110000,109900,107900,99999.5,99000,101000,99900,99999.5,1.00E+05,104900,112900,115000,117000,124900,120000,119700,120000,120000,129900,130000,130000,134900,130000,134900,138500,140000,139570.5,139000,139120.5,144900,149900,148750,151594.5,152400,159000,155000,159900,155682,148500,149900,150000,153250,157900,159650,159900,162000,165000,165000,164900,165000,168900,169900,165000,167000,175000,179900,184900,180015,182265,184342.5,179900,179500,179900,179900,179900,187740,187620,189060,189900,189950,188123,191900,189900,189900,189900,189900,190000,190990,196737.5,199900,2.00E+05,205000,2.00E+05,2.00E+05,2.00E+05,2.00E+05,204990,204995,219496.5,224000,209950,215000
Washington County,WI,Milwaukee-Waukesha-West Allis,55,131,463,209900,205000,201950,204900,209000,207950,204900,214400,209900,204990,194900,192795,189900,189900,189900,189900,189700,188450,188250,185000,179900,179900,174900,174500,169900,169900,169900,169900,174900,172000,172000,170000,169900,174900,169900,169500,179900,181900,185900,186900,188500,194900,194900,195000,194900,193858,194900,185900,181000,179900,184900,189900,199900,204250,209900,214950,218000,211950,205000,2.00E+05,197500,199900,199900,206900,209900,214900,225000,225000,229900,233900,229900,223900,214999,208450,214950,224950,219900,224490,252390,254950,255495,259090,258390,261040,264950,264900,262999.5,248450,259900,264545,254900,254500,245000,257900,256450,254700,264450,261200,264900,267900,269000,269900,269450,260830,255000,259900,257000,259900,264900,266500,284900,278000,279900
Madison County,IN,Indianapolis-Carmel-Anderson,18,95,464,84900,84700,84900,84900,84900,79950,82462,82900,78000,76900,78500,74900,75950,79200,79000,79900,83950,82950,84900,84900,84900,82900,82650,79900,79900,79900,79900,79900,79900,79950,79900,79900,79900,79900,74950,75000,75000,78700,78500,80000,83400,82900,81450,80000,82500,79900,79900,78000,76900,78995,78700,79900,87900,88250,87000,84900,81900,84800,80000,75000,74900,76900,76600,84500,84900,84950,85500,79900,79900,76600,75000,69900,69500,69900,70000,74900,78900,79917,83000,86600,83000,84400,82000,78900,74900,75900,77875,80000,92450,94900,95000,95000,95000,91900,89900,85000,83306,83900,87000,91500,99900,99900,109900,109900,104900,104900,99900,93500,99900,109000,110500,115000,119900
Rapides Parish,LA,Alexandria,22,79,465,162900,169900,169000,174900,179450,176900,175000,170000,169900,165000,164900,164900,164500,169000,169900,168700,171500,169900,165000,159900,164900,159900,162000,165000,160000,164500,159950,149950,154900,159900,157900,157000,159250,157750,159900,160000,159450,162250,161000,164500,159900,167000,172750,174900,172000,172000,169900,169950,168000,166000,165000,169900,169700,174000,169500,169900,170500,165000,168200,166000,165000,164650,165000,168900,174200,171000,169900,169900,168000,165750,160500,159250,159250,160000,168900,170000,179700,179900,185900,180000,185500,189900,191250,189900,189900,189900,189900,189900,179900,180000,179450,179900,183000,182500,179900,179900,179900,179000,179000,179500,179350,179900,180000,179500,180000,179100,175000,175000,179900,185000,189000,199000,199000
Sandoval County,NM,Albuquerque,35,43,466,239000,234900,224950,224900,224500,220000,216272,214000,210000,209900,208000,199600,199900,197350,199900,204900,212995,218000,216000,218990,219900,219000,215000,215000,207945,199900,199925,204900,208750,210000,207990,207807,2.00E+05,2.00E+05,199900,198500,194500,199900,2.00E+05,207000,219900,225000,223900,219900,218500,219900,214500,205000,205000,201990,215000,219900,220000,217865,211495,215000,209900,205000,206990,2.00E+05,199900,198000,204000,211000,215000,220637.5,220000,219900,224000,224900,224900,226495,229000,230000,236195,244427,249900,244999,243962.5,241495,240000,245450,236375,235000,232900,232995,234820,235000,235990,239900,236990,235000,238990,239000,239900,239900,239995,246470,248990,249800,250000,249994.5,250000,250000,251990,252990,255000,254838,258875,265000,267495,268145,265103.5
Guadalupe County,TX,San Antonio-New Braunfels,48,187,467,179900,179250,179900,178000,177254.5,175052.5,174900,175000,174400,173145,172500,169990,172490,175000,176267.5,177745,179900,180687,179900,176500,174900,174900,174900,178000,175000,179300,183994.5,181900,184990,187922,184970,187690,185995,188900,189900,189900,188500,190992.5,195800,195406,197900,195307.5,195500,197428,194900,199900,199900,204946.5,2.00E+05,204363.5,205436.5,208345,214600,217676,214393.5,219700,219000,220000,215450,225990,227995,239900,250990,253250,259263.5,259990,261990,261990,261900,263990,262990,264900,257990,239990,246000,239995,245000,247399,245000,240000,242500,249700,246400,238500,234950,239000,249900,254768,249990,249000,252735.5,259800,255000,253990,255000,255000,260000,260000,262700,267199.5,262700,263339,265000,259992.5,260265,261499,259994.5,264900,263000,259900,259000,262000,259995
Taylor County,TX,Abilene,48,441,468,125000,128950,129900,129950,129900,134900,135500,134900,132000,129000,133250,129450,122500,129900,129900,129950,135000,136900,136700,134000,134000,129900,126000,122200,123900,129900,134900,129900,129500,129900,129000,125000,123700,125900,124900,119900,121500,124900,129900,134250,134750,137500,131500,129453,127900,124900,123000,119900,120000,127250,129900,129950,145000,153000,149000,146200,148200,144900,144900,143000,147500,155000,157600,168000,168500,168000,167500,164950,167750,167000,166000,163200,163200,167700,169900,171500,169900,169900,168800,162375,164900,162375,164900,164900,163000,159900,168000,171750,176000,174900,175000,169950,169900,171870,169900,169900,170000,176500,179900,184900,187930,192000,185250,190500,184900,195000,192000,193500,188500,185550,189625,199900,199900
Wichita County,TX,Wichita Falls,48,485,469,120000,118500,115000,117000,119500,119900,117500,115000,114900,111500,104900,107500,105000,102500,109900,110000,109999,109900,109900,109900,107900,99900,109900,111000,109900,111800,109900,109900,109900,114900,114900,110000,109900,110900,109000,105000,104250,104700,109000,114250,114900,114900,115000,112900,110000,109500,107750,105100,107000,109900,114500,115000,117900,115000,114900,114900,114900,112500,110000,108400,111000,114000,113500,115750,115250,114950,115000,114900,112500,113500,112000,112000,114500,114900,109900,109900,112900,119900,119900,117600,117000,116000,114900,113250,109900,110000,110000,117500,119900,114000,113000,110000,109700,112500,114900,109900,107500,112900,124900,129900,127250,129500,130950,135000,134700,133750,134900,129900,129900,129900,129900,130000,129900
Cochise County,AZ,Sierra Vista-Douglas,4,3,470,199000,199900,190000,189900,189000,186950,184900,184950,185000,180000,179900,182000,179900,179000,177900,179900,179900,175000,175000,174900,174900,169900,165000,167310,169700,170000,170000,169000,166700,165000,159900,160450,159000,159900,155000,155450,155000,159000,163200,159900,160000,159900,164900,165000,164900,164000,159900,159900,159900,160000,159600,159900,159150,159900,159900,159000,156000,155000,155000,155000,159900,159000,160000,160000,159900,157500,159000,159000,159900,159900,155000,154900,154900,154900,150000,153500,155000,154900,155000,154900,154000,150500,150000,148000,148500,149900,149900,154900,153000,155000,158000,159000,159900,159000,160000,159900,160000,165725,165000,169000,170000,175000,176000,175000,174900,173000,174900,175000,175000,175000,176050,179900,179900
Berkshire County,MA,Pittsfield,25,3,471,289900,279900,294700,280950,289900,290000,289000,285000,279900,289000,279900,285000,280000,279500,279999.5,279500,285000,288500,285000,279900,279700,279250,275000,279000,279700,276500,279900,285000,280000,279000,279250,279000,279900,279000,279900,279900,279900,275000,274700,274900,279900,284700,286250,285000,285000,289000,280000,279000,279000,282200,284500,279000,285000,284900,284950,284900,279000,284900,290000,284900,284900,295000,299000,279946,279900,279900,289000,289000,287000,289000,285000,279900,289000,284900,284900,284000,286500,289000,283250,279000,279900,279500,289000,289000,285000,284450,289000,298000,295000,297000,295000,298500,295000,293687.5,299000,299500,312000,299900,3.00E+05,325000,322750,299900,299999.5,299250,299900,317000,3.00E+05,309950,320750,309000,312500,311450,319000
Black Hawk County,IA,Waterloo-Cedar Falls,19,13,472,,,,,,,,,,,,,,,,,,,,,,,,,,,132450,132750,131975,134000,134700,132000,133900,129949.5,133900,133900,134900,142500,134900,131000,132950,134900,133700,128450,129900,127450,129500,127500,129900,129925,135500,144900,140950,142000,139900,139500,139900,139900,137000,135700,137500,139000,139750,139900,139500,137500,139000,139000,139900,139700,139900,139900,142250,144900,139950,144500,144450,142250,142500,140000,142750,139900,139900,139900,140000,140000,148950,154450,155000,159950,159900,159900,149900,145000,141900,139900,139900,154000,155000,164900,167700,166825,161000,159900,154950,159900,156900,149900,151900,150700,159900,159900,158500
Johnson County,IA,Iowa City,19,103,473,199850,189900,190000,189900,189975,189975,195000,199900,199900,199900,199900,198600,197900,191999,189000,183400,183900,184900,184900,185000,189000,194500,195000,195000,192000,189900,190250,189900,189900,192000,190000,192500,194999,199000,197500,199900,209900,204900,201000,203500,204950,208400,210000,214900,232750,239900,242500,242000,249900,246289,234900,229000,234900,235000,236900,239900,235000,239000,243000,248900,245000,244900,239900,245450,239900,239500,239900,245000,244950,246500,244950,249900,249900,244900,235000,239900,239900,239900,244900,258500,262500,264900,262000,274200,279900,273600,264900,264900,273000,272000,275000,279900,289900,279900,280000,285000,285000,280000,279900,277499.5,274900,274900,269900,275000,274900,269000,269900,274900,274900,274900,269900,269900,269900
San Juan County,NM,Farmington,35,45,474,215000,219900,207250,207200,212500,209900,212500,218850,215000,2.00E+05,199900,195000,185000,175000,179900,179900,187000,187000,185000,184000,186450,186450,185000,185900,185000,180000,188900,189900,189000,189950,189450,189000,189000,189000,188500,187750,188250,188450,184900,185000,192000,196500,189949.5,190000,198700,199000,204950,202750,204950,199900,194900,186000,184000,182500,189900,190000,189900,186000,187000,189000,189000,189000,189000,191500,189000,192444,199900,195000,196750,197200,199500,199450,196250,192500,199000,2.00E+05,199950,2.00E+05,203000,205500,199900,205000,199900,194900,198694,195000,197800,199000,209450,210000,204900,199900,199694,199000,199000,195000,194900,189900,195000,194900,195000,195000,199900,199000,199999,199000,199000,199900,205000,199100,199900,209888,210000
Scott County,MN,Minneapolis-St. Paul-Bloomington,27,139,475,232400,231632.5,229900,226950,229900,229900,224900,219900,219900,219900,205225,199900,199900,199900,204900,199900,202900,214900,213750,214900,213750,209900,202500,199000,199900,199999.5,205000,210000,220500,219900,224900,229900,233900,233000,239900,234900,234900,232800,241250,249900,249900,249900,249900,257445,259900,270990,274900,279400,269450,272500,274900,284000,279900,289950,279900,288900,289900,289900,299900,289900,291500,279900,284650,285000,285000,289000,289900,289900,295494,289900,299900,299900,299900,312999,309875,299900,309900,299900,304900,299900,3.00E+05,309900,318000,325000,319900,314950,320500,325000,324900,325000,330000,324900,339900,345000,358900,369900,374995,375990,369900,374900,369900,365000,374900,374950,369900,369000,364950,369250,369999,373280.5,374942.5,374999,370945
Stafford County,VA,Washington-Arlington-Alexandria,51,179,476,275000,279900,275000,275000,275000,272990,265000,269900,260000,259900,254025,239913.5,239825,239900,246950,245000,250000,260000,260000,259900,269000,275000,265450,278900,280300,284900,289900,299000,299900,299990,299990,303500,3.00E+05,3.00E+05,312000,310000,314990,316800,319400,324250,334900,339900,336495,331990,331990,329900,325000,329925,335990,342483,339000,339999,345000,345000,347900,348450,349000,343000,339900,344900,340225,339990,349999,359900,355990,354950,339945,345000,348450,344900,339990,339900,349995,339900,344990,350000,350000,349990,349000,349900,349900,349900,349999,349999.5,349999,359990,364999.5,362000,367450,366000,369310,379900,369900,369998.5,369900,374000,375000,379990,389500,389900,389900,395000,389900,385000,389000,389900,379000,380000,385000,385000,389900,395000,395507
Hunterdon County,NJ,New York-Newark-Jersey City,34,19,477,449900,439999.5,432500,437903,440000,449900,449000,444950,439000,435000,435000,429900,425000,413000,419900,402500,4.00E+05,399999.5,399900,399000,399000,399000,398888,398000,399900,399900,399000,399000,395000,399000,395000,399000,399000,399000,399000,395000,395000,399500,399900,405000,415000,399900,399900,399000,389900,389000,395000,389900,390000,399900,424990,424900,442500,429900,429000,425000,428450,419500,425000,419950,412500,399900,419900,415000,419900,425000,426400,429900,429999,439000,446500,439900,425000,435000,445000,445000,445000,445000,446250,429900,424000,424500,429900,412000,399000,399900,406450,424900,427750,425000,427500,425000,425000,411500,409000,399900,399900,412990,425000,450000,449900,459000,450000,439900,435000,432450,429000,429000,409990,409000,419000,439900,448750
Livingston Parish,LA,Baton Rouge,22,63,478,184900,179900,175000,175000,174900,173450,169900,169900,169900,165000,167400,165000,162800,162800,164000,162850,161900,161900,166900,166900,165000,161200,159900,159900,160000,159900,162750,162500,161900,160000,161750,161750,161000,161800,159900,159900,161950,161800,160000,161500,163300,161100,161950,161950,165500,162400,161600,161000,161100,161800,163500,163950,165000,165000,167500,169900,169900,169900,165000,167500,169000,169950,171900,170000,173000,174900,174900,176600,176900,175950,176600,176600,178650,186950,189450,188000,185000,185000,189000,189000,189000,180000,185000,179999.5,183500,180000,187500,186450,194000,195000,195000,194500,194500,193925,195000,195000,194500,199000,2.00E+05,199900,2.00E+05,202950,209000,209900,209000,208450,209900,209900,210000,211900,215900,215000,218330
Coweta County,GA,Atlanta-Sandy Springs-Roswell,13,77,479,185750,185000,189500,189900,189800,180000,180000,179971,179900,177500,175900,169900,169900,169500,169900,170000,174222,174900,173950,174250,174900,174900,174900,169900,174900,174900,179500,179700,179000,180000,187061,187861,179900,184900,179900,179500,179900,185000,179900,185000,188061,189900,192900,189500,194900,194500,198000,199900,2.00E+05,204700,207500,199900,204900,209900,209900,209900,216950,212990,218000,219000,218500,219900,224000,224900,224900,225000,224900,224900,224900,222900,224900,225000,227633,229900,228950,231526,239000,245000,249900,250000,250000,250000,249900,250000,250000,255900,259900,259125,268900,269500,266500,273625,265400,273345,274495,274900,279014,279014,278650,279000,282400,284950,289700,289900,295300,299999,297790,300800,299900,296500,299900,299900,305000
Blair County,PA,Altoona,42,13,480,116450,115000,115000,114400,114400,116400,114900,115000,110000,115000,118950,118950,118900,119900,124900,129900,129900,125000,120000,122900,124900,124200,120000,120000,129900,129900,134000,138500,136000,134900,137900,129900,129900,128900,124900,124900,124900,127900,123900,125000,124900,125000,125000,119900,119900,110000,109999.5,119000,119900,110500,111500,119000,119000,124900,119900,119900,118000,123200,115900,114950,119000,118900,128650,125000,125000,125000,125900,129000,129900,125000,124900,119900,118500,119900,125000,126900,129900,124900,124900,119900,116900,110000,109900,1.00E+05,99000,109900,119200,119900,125500,125000,129900,125000,123241,124450,123811.5,124900,125000,124900,119000,124900,130000,132450,135000,136450,135000,134900,129900,129000,131000,135000,129900,134950,134900
Washington County,RI,Providence-Warwick,44,9,481,399900,389000,380000,379900,379900,375000,375000,375000,374500,369000,369900,369000,364000,364900,359250,359000,359000,359000,355000,349999,349900,340000,349000,345000,345000,344900,349900,349900,349900,349000,349000,349000,349000,345000,345000,335000,339000,339900,344900,348900,347820,349000,349900,349900,349900,352900,359900,359900,349999.5,349900,357500,355900,364500,365000,385000,368500,369000,359900,359900,357900,359900,357200,359900,359000,365000,374000,379900,385000,389450,394450,394999,389900,379900,383200,395900,389000,399000,399900,409450,399900,399900,399900,399000,399000,399000,399000,399000,425000,428700,419900,424900,424900,431950,424900,419450,413450,410000,415000,428000,439900,449900,449000,449900,449900,449900,431440,429900,428500,424900,425000,425000,439000,449000
Sebastian County,AR,Fort Smith,5,131,482,142500,143700,139000,137900,137400,137900,138450,135000,133850,128400,124900,119900,119200,115000,119900,120500,127500,128900,127700,129625,129000,121500,121700,124645,124500,125000,129900,134950,135000,139900,139900,136500,135000,134650,134800,134900,138546,137900,138900,138000,136865,142950,143700,138250,135000,138000,137500,134900,129250,129900,129900,133900,139500,139900,139900,139900,139900,129900,135000,135000,132900,136250,139900,139900,138500,138500,144000,143000,139900,136000,139900,137500,140000,138200,139900,139900,139900,142250,142500,141950,144700,139900,140000,139900,139900,141950,148900,149900,150000,156950,154900,145900,149725,149000,145000,149700,148450,149900,153000.5,151250,157400,159900,155000,152800,159975,157250,149900,148900,150000,148500,154900,154900,154900
Wood County,OH,Toledo,39,173,483,159900,159900,159900,164900,164700,164900,164900,165000,159900,159000,155000,150000,151690,144900,149900,149999,154900,150750,147900,145000,144500,139900,134900,133575,134950,139900,142900,142900,141000,143700,148000,149900,149900,149900,145000,144950,145000,146900,145000,149900,149900,152500,149900,149900,149900,169900,148352.5,147700,159500,161900,165000,159900,157450,157000,154900,154900,159000,155000,150450,150000,149900,154900,154700,155000,159900,159900,159900,160900,161450,163900,164900,159900,159900,159900,164950,174900,181449.5,189000,182900,189000,189500,179900,176358.5,173950,169900,175000,180500,203900,207000,208900,206575,206015.5,199999,199000,185000,193700,189400,199900,209900,200650,199900,194900,189947.5,189900,192000,185500,184900,184900,198150,2.00E+05,219900,215000,214900
Wright County,MN,Minneapolis-St. Paul-Bloomington,27,171,484,189900,189900,186950,184900,179900,179900,179900,179900,179800,174900,172900,164900,159900,159900,159900,159900,159900,159900,160000,165000,165500,165000,159900,156600,157000,159000,164560,166000,171950,179000,174900,174850,174900,175000,174900,174900,174900,179900,184950,189900,199900,199999.5,199900,199900,199900,207900,199900,189950,189900,189950,204900,206395,204900,210000,214400,219000,219970,219900,222795,220000,224900,226650,229900,224900,229900,229900,234500,239000,249450,248450,244900,249900,250000,254450,249900,245900,254150,275000,279900,264900,259947.5,259500,261262.5,262525,269900,269900,265000,268100,272500,269900,274800,279900,284500,282445,289900,295000,3.00E+05,300495,309000,309900,299900,288667.5,279900,279900,279000,288000,292880,309900,315500,322990,314900,315000,309900
