RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
Marquette County,WI,,55,77,1912,152950,152950,146700,148900,149900,148500,148500,148500,149000,148500,148500,139900,139900,132950,133900,139900,148500,145000,139900,139500,139900,139900,138950,129900,138750,136500,130000,135400,134900,134900,134200,134900,129000,125900,124900,119950,119900,120000,124900,129400,129850,129900,132000,132900,132000,129900,129900,130950,129900,129900,132000,135000,139900,139900,142500,144900,147450,147500,139900,139900,135000,135000,139000,139900,139900,139300,139900,137900,134950,135900,134000,134700,133000,133000,135000,137900,139900,139900,139900,139900,137500,132000,132000,129950,130000,129900,134500,134900,137500,139900,139950,135000,132500,131499.5,129949.5,129250,128450,129000,139000,144000,144000,140500,141000,139000,137450,134900,129999.5,129999,129900,129900,135000,142500,139900
Carroll County,IL,,17,15,1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000,134900,128750,138250,147500,142500,139250,139500,125450,129900,112450,95000,107000,124900,122450,132449.5,129000,129900,134950,135450,134950,127000,109900,104900,114900,132450,143900,142500,134950,150000,142500,141250,143900,139950,135250,130000,144450,149900,150000,149900
Gunnison County,CO,,8,51,1914,419000,399900,399000,420000,425000,425000,419000,438900,441950,439400,422450,399900,419500,449000,439000,420000,439950,425000,412000,399000,399000,392000,349700,339000,345000,305000,339000,349900,398000,399000,420000,425000,444250,457000,491500,475000,424750,434000,439000,395000,399500,438250,399000,404999.5,429000,399000,395000,399000,395000,419750,429000,399925,399925,399000,395000,375000,395000,419750,395000,415000,425000,422500,429500,427000,450000,456500,455000,470750,490000,469000,425000,429000,458000,470325,449250,445900,429000,449000,449000,482500,495000,495000,525000,507450,499000,499900,499000,492000,495000,535000,549000,569000,597000,643500,590000,642000,642000,639000,599000,535000,535000,567000,575000,599000,599000,595750,645000,650000,691250,676250,579000,559000,549000
Floyd County,VA,Blacksburg-Christiansburg-Radford,51,63,1915,,,,,,,,,,,,,,,,249250,234900,249000,229000,229000,229743.5,217250,199993.5,2.00E+05,217250,209950,209950,198500,190000,196900,190000,199000,204725,199000,199500,199500,199900,199700,189900,189000,188050,202250,199750,189700,205000,214900,191000,192500,198950,219900,198500,212450,199000,199950,212425,215000,199000,195000,199000,199000,199000,199000,194950,199000,210000,217500,218950,215250,215500,210000,219450,219000,219000,239925,209000,209500,209500,209500,209500,215000,215000,215000,207250,199250,209500,230000,247250,252450,239900,237000,227000,241950,241950,225000,239000,229000,236750,225000,209000,206500,224900,209500,225000,237000,239000,229975,243100,240000,229450,225000,229975,225000,225000
Brown County,IN,Indianapolis-Carmel-Anderson,18,13,1916,238900,236900,234900,239900,229500,229900,234700,229900,224950,219450,219900,229900,219900,209450,237500,249900,239900,244450,239900,239900,237900,229450,224900,212450,209950,219500,199900,199900,209000,209900,224450,229900,224900,224900,225000,212000,224900,219900,229450,229900,229450,224900,224900,229500,229900,203500,207500,199250,199000,199000,224900,229900,217450,222000,229000,229250,222000,220000,229000,199900,199900,204475,215000,220000,232400,229850,221000,229900,232400,229900,229700,219700,229900,229900,235000,232450,238999.5,239000,244950,242500,244950,237900,235000,225000,224950,229900,230000,229000,247500,236000,245450,255450,243500,249916.5,254900,257000,267500,269450,275000,285900,289900,309700,299000,285000,295000,298250,288200,284450,294900,299000,298000,292450,289500
Sibley County,MN,Minneapolis-St. Paul-Bloomington,27,143,1917,149900,147175,149950,136000,126700,142400,124200,115000,114700,112500,99900,94950,95000,97000,99900,99000,105250,105250,99900,99900,98950,94750,89900,98950,95000,94750,85500,92000,99900,99900,99950,104200,105500,106000,105500,107350,107350,119900,119900,119900,114950,109950,114900,110900,110900,119900,110900,108500,114900,124900,119900,138625,149750,138625,132500,133625,150000,159000,150000,134375,156950,156950,152450,134950,139900,150000,139900,148900,144900,144900,129500,126400,119900,122400,139900,144900,141400,139900,139900,149950,152450,157850,149900,135450,124700,145000,149900,159900,160000,149900,168900,169900,164900,159450,162400,164900,159900,162450,150000,149950,170000,163450,165000,160900,159900,143900,146950,159900,159900,147450,160950,159900,169900
Nolan County,TX,Sweetwater,48,353,1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90250,92250,1.00E+05,102500,93450,102500,110450,114500,114500,115000,120000,114750,110000,120000,129000,114950,115883.5,127000,129000,129000,119900,123950,129000,128012.5,114500,99900,105000,119000,119500,119500,119200,114700,120000,122500,114500,128800,119500,128000
Calhoun County,SC,Columbia,45,17,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,197000,195000,204000,196000,195000,195000,199700,199250,194450,199500,208990,194700,199900,189900,199950
Bourbon County,KS,,20,11,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73200,71400,69950,72900,71950,79900,79900,77450,73200,72500,72500,72500,72500,66000,65000,69800,71150,83000,82500,87500,88700,87000,89200,87000,87250,82000,82000,81000,82000,89900,89000,89000,83500,86900,82000,82750,85000,84900
Mills County,IA,Omaha-Council Bluffs,19,129,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129500,129950,125000,125000,124700,125000,125000,129900,123000,139900,159900,155000,157750,152900,151600,145000,142450,145000,145000,145000,145000,159000,174000,165000,168000,160450,159900,159900,159900,165000,174900,159900,179750,180000,169500,164500,165000,166250,178500,172500,177500,174750,166250,164500,167500,171250,169900,175000,170000,175000,165000,163750,170000,165000,155000,143250,150500,159900,182450,179700,173450,175000,189250,184500,184000,179000,179750,178450,178450,187500,179750
